Libro,Precio (€),Opiniones
Comerás flores,18.95,296
Las gratitudes,18.9,208
La Biblioteca de la Medianoche (bolsillo),11.87,305
El buen padre (edición limitada · Verano) (Indira Ramos 1),8.5,7
Odisea,28.4,14
Rojo sangre (Serie Mindf*ck #5),9.45,16
Las otras niñas (edición limitada · Verano) (Indira Ramos 2),8.5,2
El baile de las criadas,22.7,9
Han cantado bingo,17.95,101
Indira (edición limitada · Verano) (Indira Ramos 3),8.5,2
La deliciosa tortura de amar a tu peor enemigo (Queridos Enemigos 2),22.7,2
Incendio,18.95,0
El príncipe de la noche (El Rey de los Lobos 2),22.7,2
Modelo a seguir (Game Changers 5),19.9,0
Las tejedoras del mar,22.7,0
Misión en Jonia (VIII),21.37,0
Escapar contigo,18.95,0
El desafío final (Serie Atlee Pine 4),21.75,0
El espacio entre nosotros,22.75,0
Inventario de lo que queda cuando el bosque arde,20.85,2
Penélope y las doce criadas,11.35,0
La carretera (edición especial en tapa dura),14.2,0
Strange pictures (edición limitada · Verano),8.5,1
"Ofrenda a la tormenta (Trilogía del Baztán, 3)",9.45,0
El caballero de los Siete Reinos (Canción de Hielo y Fuego),14.2,1
"Alchemised (edición coleccionista, limitada)",37.95,0
Una familia moderna,21.75,0
Pecados 6. Rey de la gula. Edición Especial,22.75,0
El partido más largo (Game Changers 6),19.9,0
Los Huérfanos,21.75,0
Fury Bound. Furia de lobo (Los Lobos de la Ruina 2),23.65,0
El llanto de los muertos (Los crímenes de Fjällbacka),22.7,0
"Todas las noches, todas las ciudades",23.65,0
La inquilina,19.85,0
Trono de venganza,18.05,0
Llevará tu nombre,22.7,65
Maite,21.75,78
La ciudad de las luces muertas,21.75,51
La intriga del funeral inconveniente,19.85,41
Antes de que todo cambie,21.75,16
El sótano,21.75,22
Ríete de las bodas,21.75,14
La librería de los viernes,19.85,11
El club de las indomables,23.65,10
Majareta,19.85,13
"Giulia, el amor y un puñado de lavanda",19.85,8
Donde habitan las sirenas,18.95,17
Hábitos atómicos,20.8,187
Murdoku,17.0,89
Mujeres de hierro,20.8,4
